parent_asin,review_count,sentiment_score_mean,positive_ratio,negative_ratio,normalized_sentiment_mean,normalized_review_volume,product_potential_score
B075X8471B,59,2.711864406779661,0.847457627118644,0.13559322033898305,0.8559322033898304,1.0,0.8991525423728812
B01K8B8YA8,55,2.7636363636363637,0.8363636363636363,0.07272727272727272,0.8818181818181818,0.9310344827586207,0.8965830721003134
B07GZFM1ZM,41,2.7560975609756095,0.8536585365853658,0.0975609756097561,0.8780487804878048,0.6896551724137931,0.8215306980656012
B07KTYJ769,32,2.875,0.9375,0.0625,0.9375,0.5344827586206896,0.8165948275862069
B07H65KP63,36,2.7777777777777777,0.8611111111111112,0.08333333333333333,0.8888888888888888,0.603448275862069,0.8032567049808428
B0791TX5P5,19,3.0,1.0,0.0,1.0,0.3103448275862069,0.793103448275862
B010BWYDYA,31,2.7096774193548385,0.8387096774193549,0.12903225806451613,0.8548387096774193,0.5172413793103449,0.7535595105672969
B000WYVBR0,11,3.0,1.0,0.0,1.0,0.1724137931034483,0.7517241379310344
B006GWO5WK,11,3.0,1.0,0.0,1.0,0.1724137931034483,0.7517241379310344
B075JZNHTD,15,2.933333333333333,0.9333333333333333,0.0,0.9666666666666666,0.2413793103448276,0.7490804597701148
B07MLY3JKV,10,3.0,1.0,0.0,1.0,0.15517241379310345,0.746551724137931
B0BMQJYLQV,9,3.0,1.0,0.0,1.0,0.13793103448275862,0.7413793103448275
B07W36WN5X,8,3.0,1.0,0.0,1.0,0.1206896551724138,0.7362068965517241
B009RUZ7TS,8,3.0,1.0,0.0,1.0,0.1206896551724138,0.7362068965517241
B00CX5P8FC,8,3.0,1.0,0.0,1.0,0.1206896551724138,0.7362068965517241
B07PXGQC1Q,8,3.0,1.0,0.0,1.0,0.1206896551724138,0.7362068965517241
B071R715MZ,7,3.0,1.0,0.0,1.0,0.10344827586206896,0.7310344827586206
B018SZT3BK,7,3.0,1.0,0.0,1.0,0.10344827586206896,0.7310344827586206
B0BJW2XLMR,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B0C6PGZ3MB,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B01I4TE612,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B07454F4JH,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B0046EDOWW,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B078T633Q9,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B00LD3Q56G,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B00FB50SBU,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B013EKI2DY,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B0095PZHPE,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B08J9NQ6CS,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B00O1RTQJE,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B00IM3P8GS,6,3.0,1.0,0.0,1.0,0.08620689655172414,0.7258620689655172
B08YMVB98D,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B006GWO5NE,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B01LZV6TYQ,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B0B1SWPFZS,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B08J83TR22,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B0B6QHB66K,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B08CLNX58K,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
B0BGPJNJBH,5,3.0,1.0,0.0,1.0,0.06896551724137931,0.7206896551724138
